Plaintext,Modified_Plaintext,Key,Speck_ECB_Avalanche,Speck_CBC_Avalanche,Speck_CFB_Avalanche,Speck_OFB_Avalanche,Speck_CTR_Avalanche,Present_ECB_Avalanche,Present_CBC_Avalanche,Present_CFB_Avalanche,Present_OFB_Avalanche,Present_CTR_Avalanche,Clefia_ECB_Avalanche,Clefia_CBC_Avalanche,Clefia_CFB_Avalanche,Clefia_OFB_Avalanche,Clefia_CTR_Avalanche
abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon about,legal abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon,4acc 3f66 20c5 6a11 c053 3849 b7ef b883 f651 03bf af31 9b31 62c4 724c b5df c6be,0.5,0.4856770833333333,0.5047106325706595,0.5,0.51171875,0.4661458333333333,0.4667535853976532,0.49731182795698925,0.4852150537634409,0.5,0.4941329856584094,0.5104166666666666,0.4959677419354839,0.48655913978494625,0.52734375
legal winner thank year wave sausage worth useful legal winner thank yellow,letter winner thank year wave sausage worth useful legal winner thank yellow,6393 9e87 5086 c73a 8979 9bfe 96a3 03a7 c66d d922 97d4 31e5 d294 ae84 7027 ef6e,0.5062695924764891,0.5265625,0.5213815789473685,0.48519736842105265,0.5203761755485894,0.5140625,0.51875,0.472636815920398,0.49506578947368424,0.5375,0.5296875,0.4828125,0.514003294892916,0.49835526315789475,0.5211267605633803
letter advice cage absurd amount doctor acoustic avoid letter advice cage above,zoo advice cage absurd amount doctor acoustic avoid letter advice cage above,12f0 635d 9e4e dda3 468b a793 8711 a44a 3c43 fcfe 5947 aefb ec92 def5 9c1b b7c0,0.496875,0.5109375,0.4889240506329114,0.4588607594936709,0.4921875,0.4953125,0.5046875,0.5151033386327504,0.47943037974683544,0.4734375,0.49686520376175547,0.49608763693270735,0.4696485623003195,0.4825949367088608,0.490625
zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo wrong,abandon zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo,9308 6efa 83a7 f786 65e6 4907 e612 8e3a bfc2 eb86 3b45 2ac0 07a5 878b 4b01 b18a,0.384765625,0.5283757338551859,0.47160493827160493,0.5245098039215687,0.498046875,0.21875,0.47544642857142855,0.47044334975369456,0.5245098039215687,0.5,0.3698630136986301,0.50390625,0.47174447174447176,0.49754901960784315,0.5048923679060665
abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon agent,legal abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon,0475 0831 45e1 9279 e9dd c45b a72c 4230 9666 7dee 85c0 3b79 f97c 10ef 0822 f483,0.4609375,0.4800347222222222,0.48404255319148937,0.5075555555555555,0.5243055555555556,0.5134665508253693,0.5056570931244561,0.5132978723404256,0.5097517730496454,0.46260869565217394,0.5538194444444444,0.5190972222222222,0.49645390070921985,0.5044326241134752,0.5052083333333334
legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth useful legal will,letter winner thank year wave sausage worth useful legal winner thank year wave sausage worth useful legal will,2ff0 9ed6 95b9 2535 54ca 912c e5ca 1bad 91bb 5676 c870 2ece e22e 6e66 389f b647,0.5229050279329609,0.5133928571428571,0.5011261261261262,0.527027027027027,0.5089285714285714,0.47879464285714285,0.5111607142857143,0.49379932356257045,0.49830508474576274,0.5078125,0.5055803571428571,0.5055803571428571,0.48027057497181513,0.49887133182844245,0.46368715083798884
letter advice cage absurd amount doctor acoustic avoid letter advice cage absurd amount doctor acoustic avoid letter always,zoo advice cage absurd amount doctor acoustic avoid letter advice cage absurd amount doctor acoustic avoid letter always,445c 0082 b8fc 0ca8 9539 338c eb88 8e29 db0a e1ef c88e 9b83 fbb3 e4a7 197b 2c54,0.4619140625,0.4912109375,0.5030487804878049,0.5045778229908443,0.490234375,0.513671875,0.4853515625,0.5182926829268293,0.503560528992879,0.5063538611925709,0.5317693059628543,0.4814453125,0.5213414634146342,0.49796747967479676,0.5234375
zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo when,abandon zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo,c772 4285 83e1 7a53 7ca8 029e 3101 93b3 bf42 6e9b a91d 40d7 0c19 ab1d a1ec 8157,0.2087912087912088,0.5234375,0.48327759197324416,0.47157190635451507,0.521875,0.1671875,0.5180533751962323,0.52,0.52,0.475,0.20625,0.509375,0.5033333333333333,0.5016666666666667,0.471875
abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon art,legal abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon,0a77 e2c1 1e16 ddce ed49 a8b9 7786 e5ab 0963 5bb1 a3dc 80fd 36a3 9478 affe 80ae,0.5006510416666666,0.48534201954397393,0.5093582887700535,0.48462566844919786,0.5188802083333334,0.47093403004572176,0.494140625,0.48294314381270903,0.5013404825737265,0.4934810951760104,0.5520833333333334,0.5110677083333334,0.5100267379679144,0.4919786096256685,0.5240885416666666
legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth title,letter winner thank year wave sausage worth useful legal winner thank year wave sausage worth useful legal winner thank year wave sausage worth title,c0cc d695 19d1 21f9 a976 3d64 d2c9 10cb 0c40 0825 5717 8b9b 277a 6314 fbe7 4e8c,0.48515625,0.4671875,0.4945424013434089,0.491183879093199,0.5109375,0.47286184210526316,0.5004115226337449,0.5020990764063812,0.5248525695029486,0.5016447368421053,0.50546875,0.48671875,0.4920235096557515,0.48446683459277917,0.47265625
